id,postcode,latitude,longitude,isInRightmove,codeRightmove
618,DE3,52.90852,-1.54049,,
619,DE4,53.12707,-1.56357,,
620,DE45,53.21464,-1.6765,,
621,DE5,53.04456,-1.4018,,
622,DE55,53.10104,-1.37114,,
623,DE56,53.02152,-1.47369,,
624,DE6,52.99358,-1.7169,,
625,DE65,52.86651,-1.60927,,
626,DE7,52.9722,-1.32089,,
627,DE72,52.8933,-1.35929,,
628,DE73,52.84694,-1.43571,,
629,DE74,52.84368,-1.32884,,
630,DE75,53.01284,-1.35305,,
631,DG1,55.07353,-3.58045,,
632,DG10,55.31977,-3.43735,,
633,DG11,55.11331,-3.33584,,
634,DG12,54.98928,-3.25044,,
635,DG13,55.17291,-3.02849,,
636,DG14,55.08069,-2.98539,,
637,DG16,54.99731,-3.06777,,
638,DG2,55.06442,-3.65683,,
639,DG3,55.23678,-3.79927,,
640,DG4,55.37555,-3.95236,,
641,DG5,54.92201,-3.81016,,
642,DG6,54.83721,-4.05555,,
643,DG7,54.96738,-4.01219,,
644,DG8,54.87259,-4.51567,,
645,DG9,54.87815,-5.02123,,
646,DH1,54.78103,-1.56616,,
647,DH2,54.85933,-1.59648,,
648,DH3,54.87181,-1.56675,,
649,DH4,54.85444,-1.4906,,
650,DH5,54.82372,-1.45363,,
651,DH6,54.75276,-1.46391,,
652,DH7,54.78943,-1.66406,,
653,DH8,54.85541,-1.84422,,
654,DH9,54.86773,-1.70704,,
655,DL1,54.53016,-1.53637,,
656,DL10,54.41381,-1.69025,,
657,DL11,54.43841,-1.8751,,
658,DL12,54.57239,-1.98453,,
659,DL13,54.71619,-1.95343,,
660,DL14,54.65199,-1.68999,,
661,DL15,54.7096,-1.72836,,
662,DL16,54.69848,-1.60429,,
663,DL17,54.68118,-1.54086,,
664,DL2,54.5286,-1.6013,,
665,DL3,54.53209,-1.57035,,
666,DL4,54.63029,-1.64368,,
667,DL5,54.61749,-1.57565,,
668,DL6,54.37042,-1.38885,,
669,DL7,54.33761,-1.48471,,
670,DL8,54.29267,-1.78489,,
671,DL9,54.37521,-1.70902,,
672,DN1,53.52205,-1.1296,,
673,DN10,53.42705,-0.94339,,
674,DN11,53.45158,-1.08284,,
675,DN12,53.48313,-1.22082,,
676,DN14,53.70747,-0.93638,,
677,DN15,53.61469,-0.64994,,
678,DN16,53.56782,-0.63935,,
679,DN17,53.5721,-0.70114,,
680,DN18,53.68055,-0.44643,,
681,DN19,53.68387,-0.35847,,
682,DN2,53.53264,-1.10222,,
683,DN20,53.55723,-0.50531,,
684,DN21,53.41927,-0.70129,,
685,DN22,53.32352,-0.92643,,
686,DN3,53.54578,-1.05817,,
687,DN31,53.57014,-0.08648,,
688,DN32,53.56266,-0.06869,,
689,DN33,53.53974,-0.09691,,
690,DN34,53.55705,-0.11123,,
691,DN35,53.55494,-0.03583,,
692,DN36,53.51089,-0.03636,,
693,DN37,53.54033,-0.13461,,
694,DN38,53.56115,-0.39192,,
695,DN39,53.617,-0.33385,,
696,DN4,53.50581,-1.12088,,
697,DN40,53.6208,-0.22331,,
698,DN41,53.58351,-0.19466,,
699,DN5,53.53763,-1.17153,,
700,DN6,53.5961,-1.17643,,
701,DN7,53.58139,-1.01508,,
702,DN8,53.61415,-0.95535,,
703,DN9,53.50661,-0.89316,,
704,DT1,50.71093,-2.44052,,
705,DT10,50.93702,-2.33306,,
706,DT11,50.86091,-2.18047,,
707,DT2,50.74955,-2.45365,,
708,DT3,50.64067,-2.46674,,
709,DT4,50.60921,-2.4636,,
710,DT5,50.54724,-2.44041,,
711,DT6,50.73886,-2.77528,,
712,DT7,50.7286,-2.94657,,
713,DT8,50.81632,-2.7581,,
714,DT9,50.94086,-2.51529,,
715,DY1,52.51648,-2.0958,,
716,DY10,52.38594,-2.22483,,
717,DY11,52.38496,-2.26009,,
718,DY12,52.38569,-2.32916,,
719,DY13,52.33637,-2.28035,,
720,DY14,52.37985,-2.46282,,
721,DY2,52.49671,-2.08102,,
722,DY3,52.52994,-2.12826,,
723,DY4,52.53269,-2.05308,,
724,DY5,52.48049,-2.12223,,
725,DY6,52.49842,-2.16353,,
726,DY7,52.46596,-2.22376,,
727,DY8,52.45978,-2.15455,,
728,DY9,52.43554,-2.1221,,
729,E1,51.51766,-0.05841,,
730,E10,51.56814,-0.01153,,
731,E11,51.56769,0.01443,,
732,E12,51.54992,0.05404,,
733,E13,51.527,0.02705,,
734,E14,51.5062,-0.01855,,
735,E15,51.53911,0.00307,,
736,E16,51.51083,0.02633,,
737,E17,51.58623,-0.01796,,
738,E18,51.59176,0.02705,,
739,E1W,51.50775,-0.05739,,
740,E2,51.52939,-0.0608,,
741,E3,51.52789,-0.02482,,
742,E4,51.62196,-0.00339,,
743,E5,51.55893,-0.05233,,
744,E6,51.5256,0.05583,,
